YearMonth,monthly_return,picks,cumulative_return,model_name,evaluation_name
2021-12-31,-0.04158164658455814,5,0.5710986304136065,L1 Logistic Regression,standard
2022-01-31,-0.043328010289517827,4,0.5030260527891983,L1 Logistic Regression,standard
2022-02-28,0.08378188946696181,5,0.6289524154099468,L1 Logistic Regression,standard
2022-03-31,-0.11078336553046272,5,0.44849158454185645,L1 Logistic Regression,standard
2022-04-30,-0.008190088492398481,5,0.4366283102839643,L1 Logistic Regression,standard
2022-05-31,-0.07783109785648784,5,0.3248139516828523,L1 Logistic Regression,standard
2022-06-30,0.09751767105959314,5,0.4540067228382203,L1 Logistic Regression,standard
2022-07-31,-0.041395043802664996,5,0.39381805085696286,L1 Logistic Regression,standard
2022-08-31,-0.12970613108610066,4,0.2130313040423364,L1 Logistic Regression,standard
2022-09-30,0.08112491954546787,3,0.31143837098890503,L1 Logistic Regression,standard
2022-10-31,0.05798389696629388,5,0.3874806783699698,L1 Logistic Regression,standard
2022-11-30,-0.05376190384170275,4,0.31288707555722306,L1 Logistic Regression,standard
2022-12-31,0.07699047115568948,4,0.413966870078589,L1 Logistic Regression,standard
2023-01-31,-0.045763476300840315,5,0.3492588307295741,L1 Logistic Regression,standard
2023-02-28,0.028735751192634128,4,0.3880307967838834,L1 Logistic Regression,standard
2023-03-31,0.028437716000736402,5,0.42750322238309924,L1 Logistic Regression,standard
2023-04-30,0.09472705453401557,5,0.5627263979772659,L1 Logistic Regression,standard
2023-05-31,0.0815513940006149,5,0.6901689141738716,L1 Logistic Regression,standard
2023-06-30,0.10904244721070075,4,0.8744690687748435,L1 Logistic Regression,standard
2023-07-31,0.007491153280540838,5,0.8885110038886685,L1 Logistic Regression,standard
2023-08-31,-0.01960070429703233,4,0.8514948581397552,L1 Logistic Regression,standard
2023-09-30,-0.04937829213827822,5,0.7600712041420103,L1 Logistic Regression,standard
2023-10-31,0.15229794886826728,5,1.0281264383949398,L1 Logistic Regression,standard
2023-11-30,0.06908008271113603,4,1.1682295805079037,L1 Logistic Regression,standard
2023-12-31,-0.005175907148083668,3,1.1570070255234661,L1 Logistic Regression,standard
2024-01-31,0.08341287426013459,6,1.3369291813216817,L1 Logistic Regression,standard
2024-02-29,0.06643118810761477,6,1.4921741633602363,L1 Logistic Regression,standard
2024-03-31,-0.10061232764022468,5,1.2414307198997334,L1 Logistic Regression,standard
2024-04-30,0.06097239586072908,5,1.378096121047859,L1 Logistic Regression,standard
2024-05-31,-0.00013867250944277557,4,1.3777663444910573,L1 Logistic Regression,standard
2024-06-30,-0.09344845276751243,4,1.155567758555704,L1 Logistic Regression,standard
2024-07-31,0.033571519956251,4,1.227933444579108,L1 Logistic Regression,standard
2024-08-31,0.04786709959751718,4,1.3345781566674155,L1 Logistic Regression,standard
2024-09-30,0.016090049768424066,6,1.3721416353964697,L1 Logistic Regression,standard
2024-10-31,0.047144624972473174,5,1.4839753631788253,L1 Logistic Regression,standard
2024-11-30,-0.016659829656215763,5,1.4425927567580294,L1 Logistic Regression,standard
2024-12-31,0.04335600298464346,5,1.548493815610299,L1 Logistic Regression,standard
2025-01-31,-0.03276268994083775,4,1.4649983029133162,L1 Logistic Regression,standard
2025-02-28,-0.05835418873792253,4,1.321155326706454,L1 Logistic Regression,standard
2025-03-31,0.05173241931126912,4,1.4412343073542182,L1 Logistic Regression,standard
2025-04-30,0.10022762475669282,5,1.685913423454882,L1 Logistic Regression,standard
2025-05-31,0.15450316165549913,4,2.1008955393116064,L1 Logistic Regression,standard
2025-06-30,0.10156663190247525,5,2.415843055120896,L1 Logistic Regression,standard
2025-07-31,0.10034002132681086,4,2.7585888201207656,L1 Logistic Regression,standard
2025-08-31,0.036014592251698146,4,2.893952863919206,L1 Logistic Regression,standard
2025-09-30,0.021116171853778398,6,2.9761782417842366,L1 Logistic Regression,standard
2025-10-31,-0.07941065310662701,4,2.6604273307357906,L1 Logistic Regression,standard
2025-11-30,0.008515483337379866,3,2.6915976386783615,L1 Logistic Regression,standard
2024-01-31,0.0827003840072733,21,0.08270038400727331,Random Forest,standard
2024-02-29,0.030495700001191575,21,0.11571809010913414,Random Forest,standard
2024-03-31,-0.05191162200269816,21,0.057799354353816446,Random Forest,standard
2024-04-30,0.05940430742896635,21,0.12063719239801252,Random Forest,standard
2024-05-31,0.04896805728220807,21,0.17551261862793122,Random Forest,standard
2024-06-30,-0.004709749297114239,21,0.1699762488985994,Random Forest,standard
2024-07-31,0.06380713163873962,21,0.24462907742627116,Random Forest,standard
2024-08-31,0.0580723409931461,21,0.3169076016205543,Random Forest,standard
2024-09-30,-0.007330906251934747,21,0.30725347545061377,Random Forest,standard
2024-10-31,0.08485337026058215,21,0.41817833862745735,Random Forest,standard
2024-11-30,-0.03493753286329967,21,0.3686306863156408,Random Forest,standard
2024-12-31,0.04227038777964809,21,0.42648323615332906,Random Forest,standard
2025-01-31,0.015402718443414625,21,0.4484549558040498,Random Forest,standard
2025-02-28,-0.029626887533230024,21,0.40554174373149343,Random Forest,standard
2025-03-31,-0.03828411197635194,21,0.3517318262270399,Random Forest,standard
2025-04-30,0.04766534792313902,21,0.4161625940229319,Random Forest,standard
2025-05-31,0.08801255960008067,21,0.5408026887327801,Random Forest,standard
2025-06-30,0.006513903361463268,21,0.550839328546268,Random Forest,standard
2025-07-31,0.044086119275362864,21,0.6192098161614823,Random Forest,standard
2025-08-31,0.0774136198885561,21,0.744558709389626,Random Forest,standard
2025-09-30,0.0622430887400881,21,0.8531454319504579,Random Forest,standard
2025-10-31,-0.007029970405781409,21,0.840117874406237,Random Forest,standard
2025-11-30,0.03369881721211697,21,0.9021276703046017,Random Forest,standard
2024-01-31,0.05534595966174704,21,0.055345959661746935,XGBoost,standard
2024-02-29,0.025632221423033702,21,0.08239682097770085,XGBoost,standard
2024-03-31,-0.04888238982015939,21,0.029486677634567693,XGBoost,standard
2024-04-30,0.05253190456885599,21,0.08356757353897537,XGBoost,standard
2024-05-31,0.01350229715353551,21,0.09819822490283392,XGBoost,standard
2024-06-30,-0.0014195336822715344,21,0.0966392955327735,XGBoost,standard
2024-07-31,0.042373184823558896,21,0.14310739508716108,XGBoost,standard
2024-08-31,0.05911986844874749,21,0.2106877539075045,XGBoost,standard
2024-09-30,0.01104538182915853,21,0.2240602624252992,XGBoost,standard
2024-10-31,0.05536768616707944,21,0.29183364688485613,XGBoost,standard
2024-11-30,-0.02336747419563844,21,0.2616467574762167,XGBoost,standard
2024-12-31,0.02823492617004399,21,0.29726926052623326,XGBoost,standard
2025-01-31,0.013985502557772452,21,0.3154122230874423,XGBoost,standard
2025-02-28,-0.03961640679048082,21,0.2633003173604396,XGBoost,standard
2025-03-31,-0.023115236227402282,21,0.2340988320985007,XGBoost,standard
2025-04-30,0.023570394249933894,21,0.2631870281144453,XGBoost,standard
2025-05-31,0.04232065923070612,21,0.31664593587592504,XGBoost,standard
2025-06-30,-0.014557711399685933,21,0.2974785843258738,XGBoost,standard
2025-07-31,0.04845217306902893,21,0.3603442412469895,XGBoost,standard
2025-08-31,0.07089844811303102,21,0.45679053685089976,XGBoost,standard
2025-09-30,0.041065277796181104,21,0.5166140449375298,XGBoost,standard
2025-10-31,0.011896011209489646,21,0.5346557026165761,XGBoost,standard
2025-11-30,0.032513950072421305,21,0.5845534215098083,XGBoost,standard
2021-12-31,-0.06263013940851091,21,-0.06263013940851092,Logistic Regression,walk_forward
2022-01-31,-0.030967187253192727,21,-0.09165784740694671,Logistic Regression,walk_forward
2022-02-28,0.05384812416305664,21,-0.04274532639157791,Logistic Regression,walk_forward
2022-03-31,-0.1033678922140583,21,-0.14169472431453678,Logistic Regression,walk_forward
2022-04-30,0.026114688598196142,21,-0.11928034931782194,Logistic Regression,walk_forward
2022-05-31,-0.09111217288758576,21,-0.19952463039627066,Logistic Regression,walk_forward
2022-06-30,0.07172165324803095,21,-0.14211321350396255,Logistic Regression,walk_forward
2022-07-31,-0.0362860615495234,21,-0.17324254624128066,Logistic Regression,walk_forward
2022-08-31,-0.07766085053973096,21,-0.23744923329024503,Logistic Regression,walk_forward
2022-09-30,0.11177377202469034,21,-0.1522160577347761,Logistic Regression,walk_forward
2022-10-31,0.07703451383397183,21,-0.08690743390612654,Logistic Regression,walk_forward
2022-11-30,-0.05754234571467499,21,-0.13944892201379988,Logistic Regression,walk_forward
2022-12-31,0.06599853510899399,21,-0.08265381148024498,Logistic Regression,walk_forward
2023-01-31,-0.03590487121691014,21,-0.11559100824037016,Logistic Regression,walk_forward
2023-02-28,-0.009121128804049614,21,-0.12365781656966934,Logistic Regression,walk_forward
2023-03-31,-0.01625099934569988,21,-0.1378992528192048,Logistic Regression,walk_forward
2023-04-30,0.08790399918148666,21,-0.062117149444665065,Logistic Regression,walk_forward
2023-05-31,0.07248160555839571,21,0.0058621053892704555,Logistic Regression,walk_forward
2023-06-30,0.06165407069488891,21,0.06787759874425037,Logistic Regression,walk_forward
2023-07-31,-0.015045801989142975,21,0.05181052384490292,Logistic Regression,walk_forward
2023-08-31,-0.04718796002657861,21,0.0021777308901749226,Logistic Regression,walk_forward
2023-09-30,-0.017464569111729535,21,-0.015324871353192826,Logistic Regression,walk_forward
2023-10-31,0.11492473963405982,21,0.09783866143067588,Logistic Regression,walk_forward
2023-11-30,0.07118606505686034,21,0.1759894758052165,Logistic Regression,walk_forward
